Onset,Offset,Duration,Number of Faces,Gender,Age,Visual-Positive,Visual-Negative,Visual-Beauty
0.00,0.10,0.10,1,Male,31,0.00,0.27,0.43
0.10,0.20,0.10,1,Male,33,0.00,0.23,0.41
0.20,0.30,0.10,1,Male,30,0.00,0.33,0.41
0.30,0.40,0.10,1,Male,28,0.00,0.33,0.40
0.40,0.50,0.10,1,Male,28,0.00,0.93,0.42
0.50,0.60,0.10,1,Male,26,0.01,0.99,0.45
0.60,0.70,0.10,1,Male,30,0.00,0.80,0.45
0.70,0.80,0.10,1,Male,32,0.00,0.10,0.45
0.80,0.90,0.10,1,Male,29,0.00,0.61,0.45
0.90,1.00,0.10,1,Male,29,0.00,0.06,0.47
1.00,1.10,0.10,1,Male,29,0.01,0.26,0.46
1.10,1.20,0.10,1,Male,33,0.00,0.02,0.44
1.20,1.30,0.10,1,Male,33,0.00,0.03,0.42
1.30,1.40,0.10,1,Male,33,0.00,0.02,0.42
1.40,1.50,0.10,1,Male,28,0.00,0.18,0.47
1.50,1.60,0.10,1,Male,28,0.01,0.03,0.44
1.60,1.70,0.10,1,Male,31,0.00,0.00,0.43
1.70,1.80,0.10,1,Male,29,0.00,0.08,0.44
1.80,1.90,0.10,1,Male,29,0.00,0.37,0.44
1.90,2.00,0.10,1,Male,29,0.00,0.00,0.43
2.00,2.10,0.10,1,Male,28,0.00,0.02,0.41
2.10,2.20,0.10,1,Male,30,0.00,0.10,0.43
2.20,2.30,0.10,1,Male,33,0.02,0.03,0.38
2.30,2.40,0.10,1,Male,34,0.02,0.54,0.41
2.40,2.50,0.10,1,Male,32,0.00,0.01,0.41
2.50,2.60,0.10,1,Male,30,0.04,0.75,0.43
2.60,2.70,0.10,1,Male,29,0.01,0.97,0.41
2.70,2.80,0.10,1,Male,30,0.00,0.40,0.47
2.80,2.90,0.10,1,Male,32,0.00,0.30,0.45
2.90,3.00,0.10,1,Male,33,0.00,0.95,0.45
3.00,3.10,0.10,1,Male,30,0.00,0.29,0.44
3.10,3.20,0.10,1,Male,33,0.00,0.18,0.45
3.20,3.30,0.10,1,Male,34,0.00,0.96,0.45
3.30,3.40,0.10,1,Male,32,0.00,0.14,0.46
3.40,3.50,0.10,1,Male,31,0.00,0.11,0.46
3.50,3.60,0.10,1,Male,28,0.00,0.37,0.47
3.60,3.70,0.10,1,Male,31,0.00,0.91,0.47
3.70,3.80,0.10,1,Male,33,0.00,0.18,0.46
3.80,3.90,0.10,1,Male,32,0.00,0.12,0.46
3.90,4.00,0.10,1,Male,34,0.00,0.66,0.46
4.00,4.10,0.10,1,Male,30,0.00,0.92,0.49
4.10,4.20,0.10,1,Male,31,0.00,0.20,0.50
4.20,4.30,0.10,1,Male,32,0.00,0.31,0.49
4.30,4.40,0.10,1,Male,31,0.00,0.91,0.50
4.40,4.50,0.10,1,Male,31,0.00,0.79,0.50
4.50,4.60,0.10,1,Male,29,0.00,0.99,0.49
4.60,4.70,0.10,1,Male,29,0.00,0.93,0.45
4.70,4.80,0.10,1,Male,32,0.01,0.94,0.42
4.80,4.90,0.10,1,Male,28,0.00,0.88,0.43
4.90,5.00,0.10,1,Male,27,0.00,1.00,0.44
5.00,5.10,0.10,1,Male,31,0.00,0.98,0.46
5.10,5.20,0.10,1,Male,25,0.00,0.00,0.47
5.20,5.30,0.10,1,Male,31,0.00,0.01,0.44
5.30,5.40,0.10,1,Male,33,0.00,0.01,0.41
5.40,5.50,0.10,1,Male,37,0.00,0.01,0.42
5.50,5.60,0.10,1,Male,32,0.00,0.01,0.45
5.60,5.70,0.10,1,Male,33,0.00,0.60,0.46
5.70,5.80,0.10,1,Male,31,0.00,0.05,0.46
5.80,5.90,0.10,1,Male,34,0.00,0.69,0.44
5.90,6.00,0.10,1,Male,32,0.00,0.02,0.44
6.00,6.10,0.10,1,Male,34,0.00,0.10,0.45
6.10,6.20,0.10,1,Male,29,0.00,0.78,0.47
6.20,6.30,0.10,1,Male,29,0.00,0.69,0.48
6.30,6.40,0.10,1,Male,30,0.01,0.85,0.46
6.40,6.50,0.10,1,Male,32,0.01,0.97,0.45
6.50,6.60,0.10,1,Male,31,0.00,0.73,0.47
6.60,6.70,0.10,1,Male,32,0.28,0.61,0.40
6.70,6.80,0.10,1,Male,32,0.00,0.19,0.44
6.80,6.90,0.10,1,Male,33,0.00,0.91,0.43
6.90,7.00,0.10,1,Male,35,0.00,0.06,0.43
7.00,7.10,0.10,1,Male,34,0.00,0.34,0.42
7.10,7.20,0.10,1,Male,32,0.00,1.00,0.43
7.20,7.30,0.10,1,Male,34,0.00,0.58,0.46
7.30,7.40,0.10,1,Male,33,0.00,0.01,0.43
7.40,7.50,0.10,1,Male,36,0.06,0.78,0.41
7.50,7.60,0.10,1,Male,35,0.00,0.59,0.43
7.60,7.70,0.10,1,Male,32,0.00,0.00,0.44
7.70,7.80,0.10,1,Male,32,0.00,0.00,0.45
7.80,7.90,0.10,1,Male,34,0.00,0.05,0.48
7.90,8.00,0.10,1,Male,34,0.00,0.31,0.49
8.00,8.10,0.10,1,Male,33,0.00,0.36,0.49
8.10,8.20,0.10,1,Male,33,0.00,0.26,0.50
8.20,8.30,0.10,1,Male,30,0.01,0.80,0.46
8.30,8.40,0.10,1,Male,31,0.02,0.97,0.44
8.40,8.50,0.10,1,Male,33,0.01,0.98,0.46
8.50,8.60,0.10,1,Male,30,0.00,0.24,0.45
8.60,8.70,0.10,1,Male,33,0.00,0.52,0.46
8.70,8.80,0.10,1,Male,30,0.00,0.11,0.44
8.80,8.90,0.10,1,Male,32,0.00,0.05,0.42
8.90,9.00,0.10,1,Male,32,0.00,0.01,0.41
9.00,9.10,0.10,1,Male,40,0.00,0.00,0.38
9.10,9.20,0.10,1,Male,34,0.00,0.64,0.48
9.20,9.30,0.10,1,Male,36,0.00,0.33,0.48
9.30,9.40,0.10,1,Male,34,0.00,0.86,0.49
9.40,9.50,0.10,1,Male,30,0.00,0.02,0.45
9.50,9.60,0.10,1,Male,32,0.00,0.82,0.47
9.60,9.70,0.10,1,Male,30,0.00,0.98,0.48
9.70,9.80,0.10,1,Male,33,0.00,0.97,0.49
9.80,9.90,0.10,1,Male,32,0.00,0.44,0.47
9.90,10.00,0.10,1,Male,33,0.00,0.62,0.46
10.00,10.10,0.10,1,Male,32,0.00,0.20,0.46
10.10,10.20,0.10,1,Male,34,0.00,0.00,0.45
10.20,10.30,0.10,1,Male,27,0.00,0.20,0.48
10.30,10.40,0.10,1,Male,27,0.00,0.29,0.47
10.40,10.50,0.10,1,Male,26,0.00,0.25,0.48
10.50,10.60,0.10,1,Male,29,0.00,0.00,0.42
10.60,10.70,0.10,1,Male,30,0.00,0.55,0.46
10.70,10.80,0.10,1,Male,30,0.00,0.00,0.45
10.80,10.90,0.10,1,Male,28,0.00,0.13,0.45
10.90,11.00,0.10,1,Male,32,0.00,0.70,0.46
11.00,11.10,0.10,1,Male,30,0.00,1.00,0.43
11.10,11.20,0.10,1,Male,35,0.00,0.41,0.44
11.20,11.30,0.10,1,Male,31,0.00,0.01,0.46
11.30,11.40,0.10,1,Male,29,0.00,0.74,0.48
11.40,11.50,0.10,1,Male,30,0.00,0.65,0.49
11.50,11.60,0.10,1,Male,27,0.00,0.79,0.50
11.60,11.70,0.10,1,Male,30,0.00,0.16,0.48
11.70,11.80,0.10,1,Male,34,0.00,0.21,0.49
11.80,11.90,0.10,1,Male,32,0.00,0.02,0.50
11.90,12.00,0.10,1,Male,33,0.00,0.03,0.50
12.00,12.10,0.10,1,Male,33,0.00,0.06,0.50
12.10,12.20,0.10,1,Male,35,0.00,0.68,0.44
12.20,12.30,0.10,1,Male,30,0.00,0.90,0.44
12.30,12.40,0.10,1,Male,34,0.00,0.09,0.41
12.40,12.50,0.10,1,Male,32,0.00,0.99,0.41
12.50,12.60,0.10,1,Male,35,0.00,0.91,0.44
12.60,12.70,0.10,1,Male,31,0.00,0.00,0.42
12.70,12.80,0.10,1,Male,34,0.00,0.00,0.41
12.80,12.90,0.10,1,Male,29,0.00,0.00,0.44
12.90,13.00,0.10,1,Male,30,0.00,0.00,0.43
13.00,13.10,0.10,1,Male,41,0.05,0.65,0.45
13.10,13.20,0.10,1,Male,32,0.05,0.25,0.43
13.20,13.30,0.10,1,Male,31,0.03,0.68,0.46
13.30,13.40,0.10,1,Male,30,0.00,0.02,0.50
13.40,13.50,0.10,1,Male,35,0.00,0.00,0.39
13.50,13.60,0.10,1,Male,36,0.01,0.20,0.43
13.60,13.70,0.10,1,Male,36,0.00,0.14,0.45
13.70,13.80,0.10,1,Male,37,0.01,0.94,0.45
13.80,13.90,0.10,1,Male,36,0.13,0.84,0.43
13.90,14.00,0.10,1,Male,33,0.00,0.77,0.45
14.00,14.10,0.10,1,Male,32,0.00,0.01,0.47
14.10,14.20,0.10,1,Male,33,0.00,0.10,0.47
14.20,14.30,0.10,1,Male,31,0.00,0.71,0.47
14.30,14.40,0.10,1,Male,31,0.00,0.94,0.48
14.40,14.50,0.10,1,Male,31,0.00,0.46,0.50
14.50,14.60,0.10,1,Male,34,0.00,0.00,0.48
14.60,14.70,0.10,1,Male,32,0.01,0.83,0.49
14.70,14.80,0.10,1,Male,28,0.00,0.90,0.48
14.80,14.90,0.10,1,Male,28,0.01,0.82,0.47
14.90,15.00,0.10,1,Male,33,0.00,0.44,0.48
15.00,15.10,0.10,1,Male,31,0.00,0.08,0.47
15.10,15.20,0.10,1,Male,31,0.01,0.06,0.46
15.20,15.30,0.10,1,Male,31,0.02,0.31,0.46
15.30,15.40,0.10,1,Male,32,0.00,0.86,0.44
15.40,15.50,0.10,1,Male,28,0.00,0.97,0.43
15.50,15.60,0.10,1,Male,29,0.00,0.58,0.45
15.60,15.70,0.10,1,Male,25,0.00,0.62,0.45
15.70,15.80,0.10,1,Male,26,0.00,0.04,0.45
15.80,15.90,0.10,1,Male,24,0.00,0.01,0.46
15.90,16.00,0.10,1,Male,26,0.00,0.27,0.46
16.00,16.10,0.10,1,Male,28,0.05,0.82,0.41
16.10,16.20,0.10,1,Male,31,0.49,0.50,0.39
16.20,16.30,0.10,1,Male,32,0.75,0.25,0.41
16.30,16.40,0.10,1,Male,30,0.11,0.89,0.43
16.40,16.50,0.10,1,Male,30,0.00,0.99,0.46
16.50,16.60,0.10,1,Male,31,0.00,0.02,0.46
16.60,16.70,0.10,1,Male,35,0.00,0.97,0.46
16.70,16.80,0.10,1,Male,35,0.00,0.18,0.47
16.80,16.90,0.10,1,Male,35,0.01,0.84,0.45
16.90,17.00,0.10,1,Male,36,0.00,0.19,0.41
17.00,17.10,0.10,1,Male,40,0.00,0.70,0.43
17.10,17.20,0.10,1,Male,33,0.00,0.07,0.46
17.20,17.30,0.10,1,Male,29,0.00,0.79,0.48
17.30,17.40,0.10,1,Male,32,0.00,0.95,0.45
17.40,17.50,0.10,1,Male,30,0.00,0.97,0.43
17.50,17.60,0.10,1,Male,34,0.00,0.94,0.42
17.60,17.70,0.10,1,Male,35,0.02,0.82,0.41
17.70,17.80,0.10,1,Male,28,0.00,0.10,0.47
17.80,17.90,0.10,1,Male,29,0.00,0.02,0.45
17.90,18.00,0.10,1,Male,39,0.00,0.00,0.38
18.00,18.10,0.10,1,Male,34,0.00,0.01,0.43
18.10,18.20,0.10,1,Male,34,0.00,0.03,0.44
18.20,18.30,0.10,1,Male,37,0.00,0.91,0.44
18.30,18.40,0.10,1,Male,38,0.00,0.99,0.40
18.40,18.50,0.10,1,Male,42,0.00,0.71,0.39
18.50,18.60,0.10,1,Male,41,0.00,0.00,0.37
18.60,18.70,0.10,1,Male,35,0.00,0.01,0.42
18.70,18.80,0.10,1,Male,34,0.00,0.01,0.43
18.80,18.90,0.10,1,Male,30,0.00,0.01,0.43
18.90,19.00,0.10,1,Male,33,0.00,0.05,0.43
19.00,19.10,0.10,1,Male,33,0.00,0.53,0.44
19.10,19.20,0.10,1,Male,30,0.00,0.65,0.46
19.20,19.30,0.10,1,Male,30,0.00,0.36,0.46
19.30,19.40,0.10,1,Male,29,0.00,0.44,0.47
19.40,19.50,0.10,1,Male,31,0.01,0.94,0.45
19.50,19.60,0.10,1,Male,32,0.06,0.91,0.44
19.60,19.70,0.10,1,Male,34,0.00,1.00,0.45
19.70,19.80,0.10,1,Male,32,0.00,0.31,0.46
19.80,19.90,0.10,1,Male,29,0.00,0.21,0.46
19.90,20.00,0.10,1,Male,33,0.00,0.85,0.48
20.00,20.10,0.10,1,Male,37,0.00,0.00,0.41
20.10,20.20,0.10,1,Male,40,0.00,0.01,0.44
20.20,20.30,0.10,1,Male,34,0.00,0.16,0.49
20.30,20.40,0.10,1,Male,32,0.00,0.01,0.47
20.40,20.50,0.10,1,Male,28,0.00,0.00,0.47
20.50,20.60,0.10,1,Male,29,0.00,0.01,0.48
20.60,20.70,0.10,1,Male,33,0.00,0.01,0.51
20.70,20.80,0.10,1,Male,40,0.00,0.01,0.41
20.80,20.90,0.10,1,Male,29,0.00,0.61,0.52
20.90,21.00,0.10,1,Male,36,0.00,0.08,0.43
21.00,21.10,0.10,1,Male,33,0.00,1.00,0.44
21.10,21.20,0.10,1,Male,32,0.00,0.71,0.48
21.20,21.30,0.10,1,Male,29,0.00,0.05,0.47
21.30,21.40,0.10,1,Male,37,0.00,0.99,0.43
21.40,21.50,0.10,1,Male,36,0.01,0.75,0.43
21.50,21.60,0.10,1,Male,38,0.00,0.98,0.47
21.60,21.70,0.10,1,Male,34,0.00,0.72,0.48
21.70,21.80,0.10,1,Male,32,0.00,0.98,0.46
21.80,21.90,0.10,1,Male,38,0.00,0.99,0.42
21.90,22.00,0.10,1,Male,38,0.15,0.78,0.40
22.00,22.10,0.10,1,Male,37,0.04,0.29,0.40
22.10,22.20,0.10,1,Male,33,0.17,0.31,0.43
22.20,22.30,0.10,1,Male,34,0.01,0.82,0.39
22.30,22.40,0.10,1,Male,34,0.02,0.97,0.42
22.40,22.50,0.10,1,Male,33,0.02,0.98,0.42
22.50,22.60,0.10,1,Male,31,0.01,0.99,0.43
22.60,22.70,0.10,1,Male,36,0.00,0.38,0.41
22.70,22.80,0.10,1,Male,32,0.00,0.47,0.45
22.80,22.90,0.10,1,Male,31,0.00,0.80,0.48
22.90,23.00,0.10,1,Male,31,0.00,0.93,0.48
23.00,23.10,0.10,1,Male,33,0.00,0.93,0.45
23.10,23.20,0.10,1,Male,38,0.00,0.98,0.45
23.20,23.30,0.10,1,Male,36,0.00,0.99,0.42
23.30,23.40,0.10,1,Male,33,0.00,0.93,0.47
23.40,23.50,0.10,1,Male,34,0.00,0.87,0.45
23.50,23.60,0.10,1,Male,34,0.00,0.91,0.43
23.60,23.70,0.10,1,Male,37,0.00,0.79,0.44
23.70,23.80,0.10,1,Male,36,0.00,0.79,0.45
23.80,23.90,0.10,1,Male,36,0.00,0.99,0.46
23.90,24.00,0.10,1,Male,35,0.00,0.22,0.42
24.00,24.10,0.10,1,Male,32,0.00,0.99,0.49
24.10,24.20,0.10,1,Male,32,0.00,1.00,0.49
24.20,24.30,0.10,1,Male,29,0.00,1.00,0.48
24.30,24.40,0.10,1,Male,32,0.00,1.00,0.49
24.40,24.50,0.10,1,Male,32,0.00,0.98,0.47
24.50,24.60,0.10,1,Male,36,0.00,0.95,0.40
24.60,24.70,0.10,1,Male,34,0.00,0.98,0.45
24.70,24.80,0.10,1,Male,33,0.00,0.30,0.46
24.80,24.90,0.10,1,Male,33,0.05,0.74,0.40
24.90,25.00,0.10,1,Male,31,0.00,0.01,0.46
25.00,25.10,0.10,1,Male,32,0.00,0.11,0.47
25.10,25.20,0.10,1,Male,29,0.00,0.55,0.47
25.20,25.30,0.10,1,Male,30,0.00,0.16,0.45
25.30,25.40,0.10,1,Male,32,0.00,0.01,0.45
25.40,25.50,0.10,1,Male,31,0.00,0.90,0.44
25.50,25.60,0.10,1,Male,34,0.00,0.03,0.46
25.60,25.70,0.10,1,Male,33,0.00,0.07,0.46
25.70,25.80,0.10,1,Male,27,0.00,0.08,0.48
25.80,25.90,0.10,1,Male,29,0.00,0.01,0.47
25.90,26.00,0.10,1,Male,28,0.00,0.00,0.45
26.00,26.10,0.10,1,Male,26,0.00,0.02,0.45
26.10,26.20,0.10,1,Male,26,0.00,0.17,0.45
26.20,26.30,0.10,1,Male,25,0.00,0.09,0.45
26.30,26.40,0.10,1,Male,25,0.00,0.19,0.47
26.40,26.50,0.10,1,Male,30,0.00,0.02,0.44
26.50,26.60,0.10,1,Male,29,0.00,0.94,0.45
26.60,26.70,0.10,1,Male,36,0.00,0.00,0.36
26.70,26.80,0.10,1,Male,32,0.00,0.15,0.42
26.80,26.90,0.10,1,Male,30,0.01,0.17,0.43
26.90,27.00,0.10,1,Male,27,0.14,0.48,0.40
27.00,27.10,0.10,1,Male,30,0.00,0.96,0.41
27.10,27.20,0.10,1,Male,34,0.00,0.99,0.38
27.20,27.30,0.10,1,Male,37,0.00,0.00,0.39
27.30,27.40,0.10,1,Male,36,0.00,0.00,0.39
27.40,27.50,0.10,1,Male,31,0.00,0.02,0.40
27.50,27.60,0.10,1,Male,30,0.00,0.28,0.41
27.60,27.70,0.10,1,Male,34,0.00,0.06,0.40
27.70,27.80,0.10,1,Male,31,0.00,0.35,0.42
27.80,27.90,0.10,1,Male,29,0.00,0.08,0.45
27.90,28.00,0.10,1,Male,29,0.00,0.56,0.44
28.00,28.10,0.10,1,Male,34,0.00,0.06,0.45
28.10,28.20,0.10,1,Male,35,0.07,0.90,0.43
28.20,28.30,0.10,1,Male,33,0.04,0.95,0.42
28.30,28.40,0.10,1,Male,32,0.00,0.99,0.44
28.40,28.50,0.10,1,Male,34,0.01,0.98,0.41
28.50,28.60,0.10,1,Male,36,0.01,0.99,0.42
28.60,28.70,0.10,1,Male,33,0.01,0.96,0.42
28.70,28.80,0.10,1,Male,35,0.00,0.97,0.41
28.80,28.90,0.10,1,Male,31,0.00,0.87,0.43
28.90,29.00,0.10,1,Male,27,0.00,0.04,0.50
29.00,29.10,0.10,1,Male,27,0.00,0.01,0.48
29.10,29.20,0.10,1,Male,26,0.00,0.00,0.52
29.20,29.30,0.10,1,Male,25,0.00,0.03,0.54
29.30,29.40,0.10,1,Male,28,0.00,0.00,0.52
29.40,29.50,0.10,1,Male,33,0.00,0.00,0.47
29.50,29.60,0.10,1,Male,35,0.00,0.01,0.41
29.60,29.70,0.10,1,Male,35,0.00,0.08,0.43
29.70,29.80,0.10,1,Male,37,0.10,0.19,0.39
29.80,29.90,0.10,1,Male,32,0.24,0.02,0.41
29.90,30.00,0.10,1,Male,33,0.01,0.36,0.48
30.00,30.10,0.10,1,Male,34,0.00,0.23,0.51
30.10,30.20,0.10,1,Male,32,0.00,0.42,0.51
30.20,30.30,0.10,1,Male,32,0.00,0.86,0.53
30.30,30.40,0.10,1,Male,34,0.00,0.93,0.52
30.40,30.50,0.10,1,Male,40,0.00,0.06,0.43
30.50,30.60,0.10,1,Male,42,0.00,0.19,0.42
30.60,30.70,0.10,1,Male,36,0.00,1.00,0.48
30.70,30.80,0.10,1,Male,28,0.00,0.71,0.50
30.80,30.90,0.10,1,Male,31,0.00,0.02,0.47
30.90,31.00,0.10,1,Male,34,0.00,0.95,0.46
31.00,31.10,0.10,1,Male,28,0.00,0.14,0.45
31.10,31.20,0.10,1,Male,30,0.04,0.19,0.42
31.20,31.30,0.10,1,Male,33,0.00,0.23,0.41
31.30,31.40,0.10,1,Male,33,0.00,0.26,0.43
31.40,31.50,0.10,1,Male,30,0.00,0.49,0.46
31.50,31.60,0.10,1,Male,30,0.02,0.57,0.47
31.60,31.70,0.10,1,Male,34,0.01,0.40,0.46
31.70,31.80,0.10,1,Male,30,0.01,0.21,0.43
31.80,31.90,0.10,1,Male,29,0.00,0.52,0.49
31.90,32.00,0.10,1,Male,34,0.00,0.05,0.47
32.00,32.10,0.10,1,Male,30,0.00,0.05,0.46
32.10,32.20,0.10,1,Male,25,0.00,0.02,0.47
32.20,32.30,0.10,1,Male,28,0.00,0.13,0.44
32.30,32.40,0.10,1,Male,34,0.05,0.88,0.41
32.40,32.50,0.10,1,Male,32,0.04,0.95,0.43
32.50,32.60,0.10,1,Male,33,0.28,0.54,0.40
32.60,32.70,0.10,1,Male,36,0.02,0.86,0.44
32.70,32.80,0.10,1,Male,35,0.00,0.04,0.42
32.80,32.90,0.10,1,Male,33,0.01,0.03,0.42
32.90,33.00,0.10,1,Male,29,0.00,0.35,0.46
33.00,33.10,0.10,1,Male,29,0.00,0.69,0.45
33.10,33.20,0.10,1,Male,30,0.00,0.92,0.43
33.20,33.30,0.10,1,Male,31,0.01,0.82,0.45
33.30,33.40,0.10,1,Male,31,0.01,0.43,0.46
33.40,33.50,0.10,1,Male,31,0.01,0.44,0.48
33.50,33.60,0.10,1,Male,29,0.00,0.09,0.44
33.60,33.70,0.10,1,Male,28,0.00,0.10,0.43
33.70,33.80,0.10,1,Male,31,0.00,0.00,0.40
33.80,33.90,0.10,1,Male,28,0.00,0.04,0.41
33.90,34.00,0.10,1,Male,25,0.01,0.38,0.41
34.00,34.10,0.10,1,Male,29,0.01,0.97,0.42
34.10,34.20,0.10,1,Male,28,0.00,1.00,0.40
34.20,34.30,0.10,1,Male,31,0.00,0.99,0.45
34.30,34.40,0.10,1,Male,31,0.00,0.00,0.40
34.40,34.50,0.10,1,Male,29,0.00,0.56,0.44
34.50,34.60,0.10,1,Male,32,0.00,0.99,0.49
34.60,34.70,0.10,1,Male,35,0.00,0.13,0.44
34.70,34.80,0.10,1,Male,39,0.00,0.96,0.47
34.80,34.90,0.10,1,Male,33,0.00,0.96,0.49
34.90,35.00,0.10,1,Male,33,0.00,0.96,0.49
35.00,35.10,0.10,1,Male,37,0.00,0.99,0.50
35.10,35.20,0.10,1,Male,32,0.00,1.00,0.48
