Onset,Offset,Duration,Number of Faces,Gender,Age,Visual-Positive,Visual-Negative,Visual-Beauty
35.20,35.30,0.10,1,Male,31,0.00,1.00,0.47
35.30,35.40,0.10,1,Male,29,0.00,0.67,0.48
35.40,35.50,0.10,1,Male,32,0.00,0.44,0.48
35.50,35.60,0.10,1,Male,28,0.00,0.04,0.45
35.60,35.70,0.10,1,Male,33,0.00,0.61,0.49
35.70,35.80,0.10,1,Male,31,0.00,0.14,0.49
35.80,35.90,0.10,1,Male,31,0.00,0.72,0.50
35.90,36.00,0.10,1,Male,26,0.00,0.35,0.53
36.00,36.10,0.10,1,Male,30,0.00,0.02,0.47
36.10,36.20,0.10,1,Male,30,0.00,0.00,0.50
36.20,36.30,0.10,1,Male,28,0.00,0.01,0.50
36.30,36.40,0.10,1,Male,27,0.00,0.00,0.52
36.40,36.50,0.10,1,Male,31,0.00,0.00,0.47
36.50,36.60,0.10,1,Male,33,0.00,0.15,0.47
36.60,36.70,0.10,1,Male,32,0.00,0.03,0.44
36.70,36.80,0.10,1,Male,29,0.00,0.08,0.48
36.80,36.90,0.10,1,Male,34,0.00,0.01,0.48
36.90,37.00,0.10,1,Male,29,0.00,0.11,0.49
37.00,37.10,0.10,1,Male,32,0.00,0.87,0.51
37.10,37.20,0.10,1,Male,36,0.00,0.03,0.44
37.20,37.30,0.10,1,Male,35,0.00,0.07,0.48
37.30,37.40,0.10,1,Male,33,0.00,0.52,0.50
37.40,37.50,0.10,1,Male,32,0.00,0.55,0.50
37.50,37.60,0.10,1,Male,33,0.00,0.20,0.51
37.60,37.70,0.10,1,Male,33,0.00,0.06,0.45
37.70,37.80,0.10,1,Male,30,0.00,0.03,0.49
37.80,37.90,0.10,1,Male,22,0.00,0.00,0.55
37.90,38.00,0.10,1,Male,17,0.00,0.00,0.55
38.00,38.10,0.10,1,Male,26,0.00,0.00,0.56
38.10,38.20,0.10,1,Male,30,0.00,0.00,0.51
38.20,38.30,0.10,1,Male,37,0.00,0.21,0.44
38.30,38.40,0.10,1,Male,36,0.00,0.99,0.48
38.40,38.50,0.10,1,Male,35,0.00,0.84,0.50
38.50,38.60,0.10,1,Male,34,0.00,0.00,0.48
38.60,38.70,0.10,1,Male,37,0.00,0.00,0.49
38.70,38.80,0.10,1,Male,34,0.00,0.02,0.49
38.80,38.90,0.10,1,Male,34,0.00,0.05,0.49
38.90,39.00,0.10,1,Male,32,0.00,0.01,0.51
39.00,39.10,0.10,1,Male,40,0.01,0.74,0.45
39.10,39.20,0.10,1,Male,37,0.00,0.92,0.45
39.20,39.30,0.10,1,Male,35,0.00,1.00,0.46
39.30,39.40,0.10,1,Male,35,0.00,1.00,0.47
39.40,39.50,0.10,1,Male,36,0.00,0.99,0.48
39.50,39.60,0.10,1,Male,35,0.00,0.30,0.49
39.60,39.70,0.10,1,Male,33,0.00,0.04,0.49
39.70,39.80,0.10,1,Male,35,0.00,0.05,0.46
39.80,39.90,0.10,1,Male,33,0.00,0.93,0.48
39.90,40.00,0.10,1,Male,34,0.00,0.12,0.47
40.00,40.10,0.10,1,Male,33,0.00,0.04,0.46
40.10,40.20,0.10,1,Male,32,0.00,0.02,0.46
40.20,40.30,0.10,1,Male,31,0.00,0.31,0.46
40.30,40.40,0.10,1,Male,32,0.00,0.96,0.48
40.40,40.50,0.10,1,Male,34,0.00,0.86,0.47
40.50,40.60,0.10,1,Male,29,0.00,0.99,0.46
40.60,40.70,0.10,1,Male,34,0.00,0.97,0.46
40.70,40.80,0.10,1,Male,31,0.00,0.98,0.45
40.80,40.90,0.10,1,Male,33,0.00,0.92,0.42
40.90,41.00,0.10,1,Male,35,0.07,0.63,0.39
41.00,41.10,0.10,1,Male,33,0.09,0.14,0.40
41.10,41.20,0.10,1,Male,34,0.01,0.03,0.41
41.20,41.30,0.10,1,Male,31,0.00,0.01,0.40
41.30,41.40,0.10,1,Male,36,0.00,0.07,0.43
41.40,41.50,0.10,1,Male,40,0.00,0.02,0.43
41.50,41.60,0.10,1,Male,30,0.00,0.00,0.46
41.60,41.70,0.10,1,Male,35,0.00,0.00,0.47
41.70,41.80,0.10,1,Male,30,0.00,0.00,0.52
41.80,41.90,0.10,1,Male,34,0.00,0.01,0.47
41.90,42.00,0.10,1,Male,34,0.00,0.80,0.49
42.00,42.10,0.10,1,Male,31,0.00,0.02,0.48
42.10,42.20,0.10,1,Male,34,0.00,0.39,0.50
42.20,42.30,0.10,1,Male,29,0.00,0.58,0.51
42.30,42.40,0.10,1,Male,32,0.00,0.37,0.51
42.40,42.50,0.10,1,Male,35,0.00,0.77,0.50
42.50,42.60,0.10,1,Male,36,0.01,0.47,0.42
42.60,42.70,0.10,1,Male,34,0.00,0.05,0.41
42.70,42.80,0.10,1,Male,34,0.13,0.19,0.41
42.80,42.90,0.10,1,Male,33,0.06,0.24,0.43
42.90,43.00,0.10,1,Male,32,0.00,0.98,0.41
43.00,43.10,0.10,1,Male,32,0.01,0.92,0.43
43.10,43.20,0.10,1,Male,30,0.00,0.97,0.43
43.20,43.30,0.10,1,Male,37,0.00,1.00,0.47
43.30,43.40,0.10,1,Male,42,0.00,0.01,0.44
43.40,43.50,0.10,1,Male,37,0.00,0.00,0.42
43.50,43.60,0.10,1,Male,37,0.01,0.60,0.42
43.60,43.70,0.10,1,Male,35,0.00,0.00,0.41
43.70,43.80,0.10,1,Male,37,0.02,0.94,0.40
43.80,43.90,0.10,1,Male,33,0.00,0.99,0.39
43.90,44.00,0.10,1,Male,33,0.58,0.30,0.40
44.00,44.10,0.10,1,Male,33,0.40,0.60,0.40
44.10,44.20,0.10,1,Male,33,0.00,1.00,0.39
44.20,44.30,0.10,1,Male,32,0.00,0.26,0.47
44.30,44.40,0.10,1,Male,27,0.00,0.98,0.51
44.40,44.50,0.10,1,Male,28,0.00,0.92,0.51
44.50,44.60,0.10,1,Male,28,0.00,1.00,0.49
44.60,44.70,0.10,1,Male,38,0.00,1.00,0.44
44.70,44.80,0.10,1,Male,32,0.00,0.98,0.44
44.80,44.90,0.10,1,Male,28,0.00,0.84,0.45
44.90,45.00,0.10,1,Male,26,0.00,0.63,0.48
45.00,45.10,0.10,1,Male,27,0.00,0.69,0.49
45.10,45.20,0.10,1,Male,27,0.00,0.03,0.48
45.20,45.30,0.10,1,Male,27,0.00,0.52,0.48
45.30,45.40,0.10,1,Male,32,0.00,1.00,0.42
45.40,45.50,0.10,1,Male,28,0.00,0.96,0.45
45.50,45.60,0.10,1,Male,33,0.00,0.66,0.41
45.60,45.70,0.10,1,Male,31,0.05,0.79,0.37
45.70,45.80,0.10,1,Male,28,0.01,0.99,0.43
45.80,45.90,0.10,1,Male,33,0.05,0.90,0.41
45.90,46.00,0.10,1,Male,29,0.00,0.97,0.39
46.00,46.10,0.10,1,Male,26,0.00,0.72,0.43
46.10,46.20,0.10,1,Male,26,0.00,0.25,0.46
46.20,46.30,0.10,1,Male,27,0.00,0.32,0.46
46.30,46.40,0.10,1,Male,33,0.00,0.62,0.43
46.40,46.50,0.10,1,Male,29,0.81,0.11,0.40
46.50,46.60,0.10,1,Male,35,0.89,0.11,0.39
46.60,46.70,0.10,1,Male,30,0.08,0.25,0.42
46.70,46.80,0.10,1,Male,29,0.12,0.34,0.44
46.80,46.90,0.10,1,Male,30,0.32,0.44,0.44
46.90,47.00,0.10,1,Male,38,0.07,0.64,0.43
47.00,47.10,0.10,1,Male,37,0.00,0.11,0.41
47.10,47.20,0.10,1,Male,29,0.00,0.62,0.45
47.20,47.30,0.10,1,Male,27,0.00,0.03,0.44
47.30,47.40,0.10,1,Male,30,0.00,0.83,0.43
47.40,47.50,0.10,1,Male,32,0.00,0.98,0.44
47.50,47.60,0.10,1,Male,32,0.00,1.00,0.45
47.60,47.70,0.10,1,Male,30,0.04,0.86,0.39
47.70,47.80,0.10,1,Male,30,0.02,0.96,0.42
47.80,47.90,0.10,1,Male,33,0.00,0.99,0.40
47.90,48.00,0.10,1,Male,33,0.00,0.99,0.41
48.00,48.10,0.10,1,Male,38,0.01,0.92,0.44
48.10,48.20,0.10,1,Male,35,0.00,0.32,0.46
48.20,48.30,0.10,1,Male,43,0.00,0.39,0.42
48.30,48.40,0.10,1,Male,38,0.00,0.97,0.45
48.40,48.50,0.10,1,Male,36,0.00,1.00,0.50
48.50,48.60,0.10,1,Male,32,0.00,0.62,0.53
48.60,48.70,0.10,1,Male,30,0.00,0.01,0.47
48.70,48.80,0.10,1,Male,33,0.00,0.02,0.49
48.80,48.90,0.10,1,Male,36,0.00,0.00,0.44
48.90,49.00,0.10,1,Male,35,0.00,0.14,0.43
49.00,49.10,0.10,1,Male,34,0.02,0.33,0.46
49.10,49.20,0.10,1,Male,35,0.00,0.85,0.47
49.20,49.30,0.10,1,Male,36,0.00,1.00,0.48
49.30,49.40,0.10,1,Male,35,0.00,0.98,0.52
49.40,49.50,0.10,1,Male,34,0.00,0.73,0.50
49.50,49.60,0.10,1,Male,32,0.00,0.03,0.47
49.60,49.70,0.10,1,Male,37,0.13,0.77,0.43
49.70,49.80,0.10,1,Male,34,0.00,0.99,0.49
49.80,49.90,0.10,1,Male,31,0.00,0.00,0.49
49.90,50.00,0.10,1,Male,32,0.00,0.02,0.49
50.00,50.10,0.10,1,Male,31,0.00,0.40,0.49
50.10,50.20,0.10,1,Male,32,0.00,0.02,0.51
50.20,50.30,0.10,1,Male,28,0.00,0.18,0.53
50.30,50.40,0.10,1,Male,32,0.00,0.15,0.50
50.40,50.50,0.10,1,Male,35,0.00,0.28,0.47
50.50,50.60,0.10,1,Male,35,0.00,0.18,0.52
50.60,50.70,0.10,1,Male,35,0.00,0.00,0.50
50.70,50.80,0.10,1,Male,37,0.00,0.40,0.47
50.80,50.90,0.10,1,Male,36,0.00,0.14,0.47
50.90,51.00,0.10,1,Male,32,0.00,0.35,0.51
51.00,51.10,0.10,1,Male,28,0.00,1.00,0.49
51.10,51.20,0.10,1,Male,27,0.00,0.99,0.47
51.20,51.30,0.10,1,Male,32,0.00,0.94,0.45
51.30,51.40,0.10,1,Male,30,0.00,0.38,0.43
51.40,51.50,0.10,1,Male,29,0.00,0.02,0.45
51.50,51.60,0.10,1,Male,26,0.00,0.04,0.47
51.60,51.70,0.10,1,Male,26,0.00,0.04,0.49
51.70,51.80,0.10,1,Male,29,0.01,0.20,0.47
51.80,51.90,0.10,1,Male,29,0.01,0.05,0.39
51.90,52.00,0.10,1,Male,41,0.03,0.06,0.35
52.00,52.10,0.10,1,Male,36,0.00,0.08,0.41
52.10,52.20,0.10,1,Male,32,0.00,0.12,0.45
52.20,52.30,0.10,1,Male,33,0.00,0.07,0.45
52.30,52.40,0.10,1,Male,33,0.00,0.00,0.46
52.40,52.50,0.10,1,Male,33,0.01,0.31,0.44
52.50,52.60,0.10,1,Male,34,0.00,0.04,0.45
52.60,52.70,0.10,1,Male,35,0.00,0.01,0.45
52.70,52.80,0.10,1,Male,35,0.01,0.92,0.41
52.80,52.90,0.10,1,Male,33,0.00,0.99,0.43
52.90,53.00,0.10,1,Male,30,0.00,0.50,0.45
53.00,53.10,0.10,1,Male,31,0.00,0.47,0.47
53.10,53.20,0.10,1,Male,31,0.01,0.98,0.45
53.20,53.30,0.10,1,Male,30,0.02,0.98,0.42
53.30,53.40,0.10,1,Male,30,0.02,0.98,0.42
53.40,53.50,0.10,1,Male,31,0.05,0.94,0.41
53.50,53.60,0.10,1,Male,32,0.18,0.81,0.40
53.60,53.70,0.10,1,Male,33,0.02,0.97,0.40
53.70,53.80,0.10,1,Male,32,0.02,0.94,0.41
53.80,53.90,0.10,1,Male,24,0.00,0.34,0.48
53.90,54.00,0.10,1,Male,25,0.00,0.32,0.49
54.00,54.10,0.10,1,Male,29,0.00,0.03,0.44
54.10,54.20,0.10,1,Male,33,0.00,0.95,0.43
54.20,54.30,0.10,1,Male,30,0.00,0.99,0.42
54.30,54.40,0.10,1,Male,34,0.00,0.19,0.44
54.40,54.50,0.10,1,Male,34,0.00,0.98,0.39
54.50,54.60,0.10,1,Male,35,0.00,0.00,0.38
54.60,54.70,0.10,1,Male,35,0.00,0.52,0.42
54.70,54.80,0.10,1,Male,29,0.00,0.03,0.44
54.80,54.90,0.10,1,Male,32,0.00,0.41,0.42
54.90,55.00,0.10,1,Male,28,0.00,0.77,0.43
55.00,55.10,0.10,1,Male,28,0.00,0.19,0.45
55.10,55.20,0.10,1,Male,32,0.00,0.12,0.42
55.20,55.30,0.10,1,Male,30,0.00,0.44,0.42
55.30,55.40,0.10,1,Male,25,0.00,0.01,0.53
55.40,55.50,0.10,1,Male,34,0.00,0.00,0.45
55.50,55.60,0.10,1,Male,40,0.00,0.01,0.41
55.60,55.70,0.10,1,Male,36,0.00,0.94,0.45
55.70,55.80,0.10,1,Male,35,0.02,0.96,0.38
55.80,55.90,0.10,1,Male,29,0.00,0.83,0.42
55.90,56.00,0.10,1,Male,31,0.00,0.48,0.41
56.00,56.10,0.10,1,Male,35,0.00,0.21,0.40
56.10,56.20,0.10,1,Male,34,0.00,0.09,0.44
56.20,56.30,0.10,1,Male,32,0.00,0.10,0.45
56.30,56.40,0.10,1,Male,33,0.12,0.23,0.38
56.40,56.50,0.10,1,Male,31,0.08,0.44,0.38
56.50,56.60,0.10,1,Male,33,0.00,0.26,0.42
56.60,56.70,0.10,1,Male,29,0.00,0.01,0.44
56.70,56.80,0.10,1,Male,27,0.00,0.03,0.44
56.80,56.90,0.10,1,Male,30,0.00,0.12,0.43
56.90,57.00,0.10,1,Male,26,0.00,0.23,0.45
57.00,57.10,0.10,1,Male,33,0.00,0.18,0.45
57.10,57.20,0.10,1,Male,29,0.00,0.98,0.45
57.20,57.30,0.10,1,Male,27,0.00,0.85,0.48
57.30,57.40,0.10,1,Male,28,0.00,0.00,0.49
57.40,57.50,0.10,1,Male,29,0.00,0.67,0.48
57.50,57.60,0.10,1,Male,34,0.00,0.12,0.46
57.60,57.70,0.10,1,Male,30,0.00,0.13,0.46
57.70,57.80,0.10,1,Male,29,0.00,0.99,0.47
57.80,57.90,0.10,1,Male,31,0.00,0.83,0.49
57.90,58.00,0.10,1,Male,32,0.00,0.03,0.48
58.00,58.10,0.10,1,Male,35,0.01,0.38,0.45
58.10,58.20,0.10,1,Male,35,0.00,0.11,0.41
58.20,58.30,0.10,1,Male,32,0.02,0.78,0.39
58.30,58.40,0.10,1,Male,34,0.00,0.83,0.38
58.40,58.50,0.10,1,Male,36,0.04,0.09,0.37
58.50,58.60,0.10,1,Male,35,0.02,0.53,0.42
58.60,58.70,0.10,1,Male,36,0.00,0.26,0.41
58.70,58.80,0.10,1,Male,34,0.05,0.86,0.42
58.80,58.90,0.10,1,Male,36,0.00,0.02,0.41
58.90,59.00,0.10,1,Male,33,0.00,0.01,0.41
59.00,59.10,0.10,1,Male,31,0.00,0.08,0.44
59.10,59.20,0.10,1,Male,30,0.00,0.22,0.44
59.20,59.30,0.10,1,Male,35,0.00,0.06,0.45
59.30,59.40,0.10,1,Male,32,0.01,0.98,0.43
59.40,59.50,0.10,1,Male,35,0.00,0.99,0.46
59.50,59.60,0.10,1,Male,40,0.01,0.52,0.45
59.60,59.70,0.10,1,Male,31,0.00,0.00,0.46
59.70,59.80,0.10,1,Male,30,0.02,0.12,0.44
59.80,59.90,0.10,1,Male,34,0.00,1.00,0.44
59.90,60.00,0.10,1,Male,37,0.00,0.40,0.41
60.00,60.10,0.10,1,Male,33,0.00,0.29,0.43
60.10,60.20,0.10,1,Male,38,0.05,0.77,0.41
60.20,60.30,0.10,1,Male,32,0.00,0.43,0.44
60.30,60.40,0.10,1,Male,30,0.00,0.44,0.48
60.40,60.50,0.10,1,Male,30,0.00,0.51,0.48
60.50,60.60,0.10,1,Male,33,0.00,0.83,0.49
60.60,60.70,0.10,1,Male,30,0.00,0.03,0.48
60.70,60.80,0.10,1,Male,32,0.00,0.77,0.45
60.80,60.90,0.10,1,Male,29,0.01,0.29,0.41
60.90,61.00,0.10,1,Male,30,0.00,0.07,0.45
61.00,61.10,0.10,1,Male,34,0.00,0.92,0.42
61.10,61.20,0.10,1,Male,36,0.02,0.55,0.40
61.20,61.30,0.10,1,Male,31,0.00,0.03,0.46
61.30,61.40,0.10,1,Male,32,0.00,0.52,0.47
61.40,61.50,0.10,1,Male,30,0.00,0.77,0.47
61.50,61.60,0.10,1,Male,33,0.00,0.15,0.46
61.60,61.70,0.10,1,Male,29,0.00,0.83,0.48
61.70,61.80,0.10,1,Male,29,0.00,0.17,0.49
61.80,61.90,0.10,1,Male,33,0.00,0.02,0.47
61.90,62.00,0.10,1,Male,32,0.00,0.00,0.49
62.00,62.10,0.10,1,Male,29,0.00,0.04,0.48
62.10,62.20,0.10,1,Male,27,0.00,0.01,0.48
62.20,62.30,0.10,1,Male,29,0.00,0.01,0.48
62.30,62.40,0.10,1,Male,27,0.00,0.15,0.46
62.40,62.50,0.10,1,Male,33,0.00,0.95,0.45
62.50,62.60,0.10,1,Male,34,0.00,0.40,0.46
62.60,62.70,0.10,1,Male,37,0.00,0.10,0.43
62.70,62.80,0.10,1,Male,33,0.00,0.15,0.46
62.80,62.90,0.10,1,Male,42,0.00,0.04,0.44
62.90,63.00,0.10,1,Male,37,0.00,0.13,0.40
63.00,63.10,0.10,1,Male,34,0.00,0.07,0.40
63.10,63.20,0.10,1,Male,36,0.01,0.23,0.40
63.20,63.30,0.10,1,Male,32,0.14,0.70,0.41
63.30,63.40,0.10,1,Male,34,0.00,0.99,0.42
63.40,63.50,0.10,1,Male,34,0.00,1.00,0.41
63.50,63.60,0.10,1,Male,34,0.00,0.79,0.45
63.60,63.70,0.10,1,Male,30,0.00,0.79,0.45
63.70,63.80,0.10,1,Male,33,0.00,0.92,0.47
63.80,63.90,0.10,1,Male,32,0.00,0.95,0.47
63.90,64.00,0.10,1,Male,32,0.00,0.97,0.45
64.00,64.10,0.10,1,Male,27,0.00,0.97,0.45
64.10,64.20,0.10,1,Male,32,0.00,0.21,0.46
64.20,64.30,0.10,1,Male,30,0.00,0.70,0.46
64.30,64.40,0.10,1,Male,30,0.00,0.26,0.45
64.40,64.50,0.10,1,Male,29,0.00,0.05,0.48
64.50,64.60,0.10,1,Male,30,0.00,0.74,0.48
64.60,64.70,0.10,1,Male,31,0.01,0.79,0.46
64.70,64.80,0.10,1,Male,30,0.01,0.79,0.45
64.80,64.90,0.10,1,Male,28,0.00,0.04,0.48
64.90,65.00,0.10,1,Male,29,0.00,0.02,0.47
65.00,65.10,0.10,1,Male,27,0.00,0.92,0.49
65.10,65.20,0.10,1,Male,31,0.00,0.05,0.50
65.20,65.30,0.10,1,Male,32,0.00,0.62,0.46
65.30,65.40,0.10,1,Male,26,0.00,0.23,0.47
65.40,65.50,0.10,1,Male,30,0.00,0.06,0.48
65.50,65.60,0.10,1,Male,27,0.00,0.64,0.48
65.60,65.70,0.10,1,Male,28,0.00,0.01,0.49
65.70,65.80,0.10,1,Male,35,0.05,0.16,0.47
65.80,65.90,0.10,1,Male,33,0.01,0.84,0.47
65.90,66.00,0.10,1,Male,29,0.00,0.29,0.46
66.00,66.10,0.10,1,Male,29,0.00,0.05,0.48
66.10,66.20,0.10,1,Male,28,0.00,0.26,0.49
66.20,66.30,0.10,1,Male,34,0.00,0.01,0.47
66.30,66.40,0.10,1,Male,33,0.01,0.41,0.48
66.40,66.50,0.10,1,Male,37,0.00,0.03,0.45
66.50,66.60,0.10,1,Male,32,0.13,0.82,0.41
66.60,66.70,0.10,1,Male,32,0.04,0.83,0.42
66.70,66.80,0.10,1,Male,31,0.01,0.95,0.43
66.80,66.90,0.10,1,Male,35,0.14,0.53,0.38
66.90,67.00,0.10,1,Male,29,0.22,0.22,0.38
67.00,67.10,0.10,1,Male,34,0.25,0.59,0.41
67.10,67.20,0.10,1,Male,33,0.00,0.00,0.43
67.20,67.30,0.10,1,Male,36,0.00,0.59,0.43
67.30,67.40,0.10,1,Male,30,0.00,0.92,0.44
67.40,67.50,0.10,1,Male,29,0.00,0.96,0.42
67.50,67.60,0.10,1,Male,33,0.00,0.95,0.43
67.60,67.70,0.10,1,Male,31,0.01,0.57,0.38
67.70,67.80,0.10,1,Male,33,0.01,0.05,0.44
67.80,67.90,0.10,1,Male,27,0.00,0.02,0.49
67.90,68.00,0.10,1,Male,28,0.00,0.07,0.48
68.00,68.10,0.10,1,Male,29,0.00,0.55,0.48
68.10,68.20,0.10,1,Male,31,0.00,0.24,0.52
68.20,68.30,0.10,1,Male,30,0.00,0.18,0.51
68.30,68.40,0.10,1,Male,28,0.00,0.33,0.51
68.40,68.50,0.10,1,Male,28,0.00,0.70,0.50
68.50,68.60,0.10,1,Male,28,0.00,0.79,0.49
68.60,68.70,0.10,1,Male,27,0.00,0.91,0.46
68.70,68.80,0.10,1,Male,27,0.00,0.98,0.48
68.80,68.90,0.10,1,Male,30,0.00,0.18,0.49
68.90,69.00,0.10,1,Male,29,0.00,0.97,0.48
69.00,69.10,0.10,1,Male,30,0.00,0.30,0.46
69.10,69.20,0.10,1,Male,27,0.00,0.00,0.45
69.20,69.30,0.10,1,Male,30,0.00,0.03,0.44
69.30,69.40,0.10,1,Male,31,0.00,0.03,0.44
69.40,69.50,0.10,1,Male,31,0.00,0.00,0.44
69.50,69.60,0.10,1,Male,30,0.00,0.00,0.45
69.60,69.70,0.10,1,Male,30,0.00,0.00,0.45
69.70,69.80,0.10,1,Male,31,0.00,0.04,0.45
69.80,69.90,0.10,1,Male,31,0.00,0.01,0.45
69.90,70.00,0.10,1,Male,30,0.00,0.01,0.45
70.00,70.10,0.10,1,Male,32,0.00,0.00,0.46
70.10,70.12,0.02,1,Male,32,0.00,0.00,0.46
